C4c3                                     Diagonal Opening 
C4c3D3c5B2                               X-square Opening (t3) 
C4c3D3c5B3                               Snake, Peasant (t3) 
C4c3D3c5B3f4B5b4C6d6F5                   Pyramid, Checkerboarding Peasant (t3) 
C4c3D3c5B4                               Heath, Tobidashi "Jumping Out" (t3) 
C4c3D3c5B4d2C2f4D6c6F5e6F7               Mimura variation II** (t3) 
C4c3D3c5B4d2D6                           Heath-Bat (t3) 
C4c3D3c5B4d2E2                           Iwasaki variation** (t3) 
C4c3D3c5B4e3                             Heath-Chimney, "Mass-Turning" (t3) 
C4c3D3c5B5                               Raccoon Dog (t3) 
C4c3D3c5B6c6B5                           Hamilton (t3) 
C4c3D3c5B6e3                             Lollipop (t3) 
C4c3D3c5D6                               Cow (t3) 
C4c3D3c5D6e3                             Chimney (t3) 
C4c3D3c5D6f4B4                           Cow Bat, Bat, Cambridge (t3) 
C4c3D3c5D6f4B4b6B5c6B3                   Bat (Piau Continuation 2)** (t3) 
C4c3D3c5D6f4B4b6B5c6F5                   Melnikov**, Bat (Piau Continuation 1)** (t3) 
C4c3D3c5D6f4B4c6B5b3B6e3C2a4A5a6D2       Bat (Kling Continuation)** (t3) 
C4c3D3c5D6f4B4e3B3                       Bat (Kling Alternative)** (t3) 
C4c3D3c5D6f4F5                           Rose-v-Toth** (t3) 
C4c3D3c5D6f4F5d2                         Tanida (t3) 
C4c3D3c5D6f4F5d2B5                       Aircraft, Feldborg (t3) 
C4c3D3c5D6f4F5d2G4d7                     Sailboat (t3) 
C4c3D3c5D6f4F5e6C6d7                     Maruoka (t3) 
C4c3D3c5D6f4F5e6F6                       Landau (t3) 
C4c3D3c5F6                               Buffalo, Kenichi Variation (t3) 
C4c3D3c5F6e2C6                           Maruoka Buffalo** (t3) 
C4c3D3c5F6e3C6f5F4g5                     Tanida Buffalo (t3) 
C4c3D3c5F6f5                             Hokuriku Buffalo (t3) 
C4c3D3e3B2                               X-square Opening (t3) 
C4c3D3e3C2                               Snake, Peasant (t3) 
C4c3D3e3C2d6E2d2F3f4E6                   Pyramid, Checkerboarding Peasant (t3) 
C4c3D3e3D2                               Heath, Tobidashi "Jumping Out" (t3) 
C4c3D3e3D2b4B3d6F4f3E6f5G6               Mimura variation II** (t3) 
C4c3D3e3D2b4B5                           Iwasaki variation** (t3) 
C4c3D3e3D2b4F4                           Heath-Bat (t3) 
C4c3D3e3D2c5                             Heath-Chimney, "Mass-Turning" (t3) 
C4c3D3e3E2                               Raccoon Dog (t3) 
C4c3D3e3F2c5                             Lollipop (t3) 
